scan_date,qrcode_url,domain,continent,country,region,city,device,browser,os
"2026-06-09 21:40:49 +00:00","https://localhost:5173/36fgv","localhost:5173","EU","PL","Mazowieckie","Warszawa","Desktop","Firefox","Windows"
"2026-06-09 21:40:29 +00:00","https://localhost:5173/PRk7L","localhost:5173","EU","PL","Mazowieckie","Warszawa","Desktop","Firefox","Windows"
"2026-06-09 21:40:15 +00:00","https://localhost:5173/6yLZ5","localhost:5173","EU","PL","Mazowieckie","Warszawa","Desktop","Firefox","Windows"
"2026-06-09 21:40:10 +00:00","https://localhost:5173/6yLZ5","localhost:5173","EU","PL","Mazowieckie","Warszawa","Desktop","Firefox","Windows"
"2026-06-09 21:40:34 +00:00","https://localhost:5173/PRk7L","localhost:5173","EU","PL","Mazowieckie","Warszawa","Desktop","Firefox","Windows"
"2026-06-09 21:40:13 +00:00","https://localhost:5173/6yLZ5","localhost:5173","EU","PL","Mazowieckie","Warszawa","Desktop","Firefox","Windows"
"2026-06-09 21:40:37 +00:00","https://localhost:5173/PRk7L","localhost:5173","EU","PL","Mazowieckie","Warszawa","Desktop","Firefox","Windows"
"2026-06-09 21:40:45 +00:00","https://localhost:5173/36fgv","localhost:5173","EU","PL","Mazowieckie","Warszawa","Desktop","Firefox","Windows"
"2026-06-09 21:40:32 +00:00","https://localhost:5173/PRk7L","localhost:5173","EU","PL","Mazowieckie","Warszawa","Desktop","Firefox","Windows"
"2026-06-09 21:40:21 +00:00","https://localhost:5173/0MLqV","localhost:5173","EU","PL","Mazowieckie","Warszawa","Desktop","Firefox","Windows"
"2026-06-09 21:40:25 +00:00","https://localhost:5173/PRk7L","localhost:5173","EU","PL","Mazowieckie","Warszawa","Desktop","Firefox","Windows"
"2026-06-09 21:40:54 +00:00","https://localhost:5173/PTbci","localhost:5173","EU","PL","Mazowieckie","Warszawa","Desktop","Firefox","Windows"
"2026-06-09 19:32:57 +00:00","https://localhost:5173/RCb6f","localhost:5173","EU","PL","Mazowieckie","Warszawa","Desktop","Firefox","Windows"
"2026-06-09 20:02:30 +00:00","https://localhost:5173/yrw5r","localhost:5173","EU","PL","Mazowieckie","Warszawa","Desktop","Firefox","Windows"
"2026-06-09 19:33:29 +00:00","https://localhost:5173/EQFRZ","localhost:5173","EU","PL","Mazowieckie","Warszawa","Desktop","Firefox","Windows"
"2026-06-09 21:40:39 +00:00","https://localhost:5173/PRk7L","localhost:5173","EU","PL","Mazowieckie","Warszawa","Desktop","Firefox","Windows"
